DateTime,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,,
20211128 11:35:32,683,1019,539,499,503,502,503,507,,
20211128 11:35:33,683,1019,540,499,503,502,503,503,,
20211128 11:35:34,683,1019,540,499,503,502,503,504,,
20211128 11:35:35,683,1019,539,499,503,502,503,503,,
20211128 11:35:36,683,1019,540,499,503,502,503,503,,
20211128 11:35:37,679,1019,540,499,503,502,503,503,,
20211128 11:35:38,679,1019,539,499,503,502,503,504,,
20211128 11:35:39,679,1019,540,499,503,502,503,504,,
20211128 11:35:40,679,1019,540,499,503,502,503,508,,
20211128 11:35:41,679,1019,539,499,503,502,503,504,,
20211128 11:35:42,679,1019,539,499,503,502,503,504,,
20211128 11:35:43,679,1019,540,499,503,502,503,503,,
20211128 11:35:44,679,1019,539,499,503,502,503,504,,
20211128 11:35:45,679,1019,539,499,503,502,503,503,,
20211128 11:35:46,679,1019,539,499,503,502,503,504,,
20211128 11:35:47,679,1019,539,499,503,502,503,503,,
20211128 11:35:48,639,1019,555,499,499,502,503,503,,
20211128 11:35:49,639,1019,555,499,499,502,503,503,,
20211128 11:35:50,639,1019,555,499,503,502,503,504,,
20211128 11:35:51,639,1019,555,499,503,502,503,504,,
20211128 11:35:52,639,1019,555,499,499,502,503,503,,
20211128 11:35:53,639,1019,555,499,503,502,503,503,,
20211128 11:35:54,639,1019,556,499,503,502,503,504,,
20211128 11:35:55,639,1019,555,499,503,502,503,508,,
20211128 11:35:56,639,1019,555,499,499,502,503,504,,
20211128 11:35:57,639,1019,555,499,503,502,503,503,,
20211128 11:35:58,639,1019,555,499,503,502,503,504,,
20211128 11:35:59,631,1019,563,499,499,502,503,504,,
20211128 11:36:00,603,1019,575,499,499,502,503,503,,
20211128 11:36:01,603,1019,576,499,499,502,503,503,,
20211128 11:36:02,603,1019,575,499,499,502,503,503,,
20211128 11:36:03,607,1019,575,499,499,502,503,504,,
20211128 11:36:04,607,1019,575,499,499,502,503,503,,
20211128 11:36:05,603,1019,575,499,499,502,503,504,,
20211128 11:36:06,603,1019,575,499,499,502,503,504,,
20211128 11:36:07,607,1019,575,499,499,502,503,504,,
20211128 11:36:08,603,1019,575,499,499,502,503,503,,
20211128 11:36:09,603,1019,580,499,499,502,503,504,,
20211128 11:36:10,607,1019,575,499,499,502,503,504,,
20211128 11:36:11,575,1019,608,499,499,502,503,504,,
20211128 11:36:12,575,1019,608,499,499,502,503,503,,
20211128 11:36:13,575,1019,607,499,499,502,503,503,,
20211128 11:36:14,575,1019,608,499,499,502,503,504,,
20211128 11:36:15,575,1019,608,499,499,502,503,504,,
20211128 11:36:16,579,1019,607,499,499,502,503,503,,
20211128 11:36:17,575,1019,607,499,499,502,503,504,,
20211128 11:36:18,575,1019,608,499,499,502,503,508,,
20211128 11:36:19,575,1019,607,499,499,502,503,503,,
20211128 11:36:20,579,1019,608,499,499,502,503,503,,
20211128 11:36:21,575,1019,607,499,499,502,503,504,,
20211128 11:36:22,555,1019,648,499,499,502,503,504,,
20211128 11:36:23,555,1019,647,499,499,502,503,504,,
20211128 11:36:24,555,1019,648,499,499,502,503,503,,
20211128 11:36:25,555,1019,648,499,499,502,503,504,,
20211128 11:36:26,555,1019,648,499,499,502,503,504,,
20211128 11:36:27,555,1019,648,499,499,502,503,508,,
20211128 11:36:28,555,1019,648,499,499,502,503,503,,
20211128 11:36:29,555,1019,648,499,499,502,503,503,,
20211128 11:36:30,555,1019,648,499,499,502,503,503,,
20211128 11:36:31,555,1019,648,499,499,502,503,504,,
20211128 11:36:32,555,1019,648,499,499,502,503,504,,
20211128 11:36:33,537,1019,700,503,499,502,503,504,,
20211128 11:36:34,535,1019,704,503,499,502,503,504,,
20211128 11:36:35,535,1019,704,503,499,502,503,503,,
20211128 11:36:36,535,1019,704,503,499,502,503,503,,
20211128 11:36:37,535,1019,704,503,499,502,503,504,,
20211128 11:36:38,535,1019,704,503,499,502,503,504,,
20211128 11:36:39,535,1019,704,503,499,502,503,503,,
20211128 11:36:40,535,1019,704,503,499,502,503,503,,
20211128 11:36:41,535,1019,704,503,499,502,503,504,,
20211128 11:36:42,535,1019,704,503,499,502,503,503,,
20211128 11:36:43,535,1019,704,503,499,502,503,508,,
20211128 11:36:44,535,1019,704,503,499,502,503,504,,
20211128 11:36:45,523,955,776,507,499,502,503,504,,
20211128 11:36:46,523,955,776,507,499,502,503,503,,
20211128 11:36:47,523,955,776,507,499,502,503,504,,
20211128 11:36:48,523,955,776,507,499,502,503,503,,
20211128 11:36:49,523,955,776,507,499,502,503,504,,
20211128 11:36:50,523,955,776,507,499,502,503,503,,
20211128 11:36:51,523,955,776,507,499,502,503,503,,
20211128 11:36:52,523,955,776,507,499,502,503,504,,
20211128 11:36:53,523,955,776,507,499,502,503,504,,
20211128 11:36:54,523,955,776,504,499,502,503,503,,
20211128 11:36:55,523,955,776,507,499,502,503,504,,
20211128 11:36:56,515,875,861,511,499,502,503,503,,
20211128 11:36:57,515,875,861,511,499,502,503,503,,
20211128 11:36:58,515,875,861,511,499,502,503,504,,
20211128 11:36:59,515,875,861,511,499,502,503,504,,
20211128 11:37:00,515,875,861,511,499,502,503,503,,
20211128 11:37:01,515,875,861,511,499,502,503,503,,
20211128 11:37:02,515,875,861,511,499,502,503,503,,
20211128 11:37:03,515,875,861,511,499,502,503,504,,
20211128 11:37:04,515,875,861,511,499,502,503,503,,
20211128 11:37:05,515,875,861,511,499,502,503,503,,
20211128 11:37:06,515,875,861,511,499,502,503,504,,
20211128 11:37:07,507,799,950,516,499,498,503,504,,
20211128 11:37:08,507,799,950,519,499,502,503,504,,
20211128 11:37:09,507,799,950,519,499,502,503,503,,
20211128 11:37:10,507,799,950,519,499,498,503,504,,
20211128 11:37:11,507,799,951,519,499,502,503,503,,
20211128 11:37:12,507,799,950,519,499,498,503,504,,
20211128 11:37:13,507,799,950,520,499,498,503,503,,
20211128 11:37:15,507,799,950,519,499,498,503,503,,
20211128 11:37:16,507,799,950,520,499,502,503,504,,
20211128 11:37:17,507,799,950,519,499,502,503,503,,
20211128 11:37:18,507,799,950,520,499,502,503,503,,
20211128 11:37:19,507,799,966,519,499,498,503,504,,
20211128 11:37:20,503,726,1022,528,499,498,503,503,,
20211128 11:37:21,503,722,1022,528,499,498,503,503,,
20211128 11:37:22,503,722,1022,528,495,498,503,503,,
20211128 11:37:23,503,725,1022,528,499,498,503,503,,
20211128 11:37:24,503,722,1022,528,499,498,503,503,,
20211128 11:37:25,503,722,1022,528,499,498,503,504,,
20211128 11:37:26,503,722,1022,528,499,498,503,503,,
20211128 11:37:27,503,722,1022,528,495,498,503,504,,
20211128 11:37:28,503,722,1022,528,499,498,503,504,,
20211128 11:37:29,503,722,1022,527,495,498,503,503,,
20211128 11:37:30,503,726,1022,528,499,498,503,503,,
