DateTime,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8
20210710 11:26:08,644,510,493,500,502,502,506,506
20210710 11:26:09,644,510,497,500,502,502,503,506
20210710 11:26:10,644,510,493,500,502,502,506,506
20210710 11:26:11,644,510,493,500,502,502,506,506
20210710 11:26:12,644,514,496,500,502,502,506,506
20210710 11:26:13,645,510,493,500,502,502,506,506
20210710 11:26:14,644,510,493,500,502,502,506,506
20210710 11:26:15,644,510,493,500,502,502,506,506
20210710 11:26:16,645,514,493,500,502,502,506,506
20210710 11:26:17,644,510,493,500,502,502,506,506
20210710 11:26:18,649,514,493,500,502,502,506,506
20210710 11:26:19,649,514,493,500,502,502,506,506
20210710 11:26:20,649,514,493,500,502,502,506,506
20210710 11:26:21,649,514,493,500,502,502,506,506
20210710 11:26:22,649,514,493,500,502,502,506,506
20210710 11:26:23,649,514,493,500,502,502,506,506
20210710 11:26:24,649,514,493,500,502,502,506,506
20210710 11:26:25,649,514,493,500,502,502,506,506
20210710 11:26:26,649,514,493,500,502,502,506,506
20210710 11:26:27,649,514,493,500,502,502,506,506
20210710 11:26:28,649,514,493,500,502,502,506,506
20210710 11:26:29,661,518,493,500,502,502,506,506
20210710 11:26:30,665,518,497,500,502,502,506,506
20210710 11:26:31,665,518,493,500,502,502,506,502
20210710 11:26:32,665,518,493,500,502,502,506,506
20210710 11:26:33,665,518,493,500,502,502,506,506
20210710 11:26:34,665,518,497,500,502,502,506,506
20210710 11:26:35,665,518,493,500,502,502,506,506
20210710 11:26:36,665,518,493,500,502,502,506,506
20210710 11:26:37,665,518,493,500,502,502,506,506
20210710 11:26:38,665,518,493,500,502,502,506,506
20210710 11:26:39,665,518,493,500,502,502,506,506
20210710 11:26:40,685,522,493,500,502,502,502,506
20210710 11:26:41,685,526,493,500,502,502,506,506
20210710 11:26:42,685,526,497,500,502,502,506,506
20210710 11:26:43,685,526,497,500,502,502,506,506
20210710 11:26:44,685,522,495,500,502,502,506,506
20210710 11:26:45,685,526,497,500,502,502,506,506
20210710 11:26:46,685,526,493,500,502,502,506,506
20210710 11:26:47,685,526,497,500,502,502,506,506
20210710 11:26:48,685,522,497,500,502,502,506,506
20210710 11:26:49,685,526,497,500,502,502,506,506
20210710 11:26:50,685,522,497,500,502,502,506,506
20210710 11:26:51,705,534,497,500,502,502,506,506
20210710 11:26:52,705,534,497,500,502,502,506,506
20210710 11:26:53,705,534,497,500,502,502,506,506
20210710 11:26:54,705,534,497,500,502,502,506,506
20210710 11:26:55,705,534,497,500,502,502,506,506
20210710 11:26:56,705,534,497,500,502,502,506,502
20210710 11:26:57,705,534,497,500,502,502,506,506
20210710 11:26:58,705,534,497,500,502,502,506,506
20210710 11:26:59,705,534,497,500,502,502,506,502
20210710 11:27:00,705,534,497,500,502,502,502,502
20210710 11:27:01,705,534,497,500,502,502,502,506
20210710 11:27:02,721,546,497,500,502,502,506,506
20210710 11:27:03,721,546,497,500,498,502,506,506
20210710 11:27:04,721,546,497,500,502,502,502,506
20210710 11:27:05,721,546,497,500,502,502,502,502
20210710 11:27:06,721,546,497,500,502,502,506,506
20210710 11:27:07,721,546,497,500,502,502,506,506
20210710 11:27:08,721,546,497,500,502,502,506,506
20210710 11:27:09,721,546,497,500,498,502,506,506
20210710 11:27:10,721,546,497,500,502,502,506,506
20210710 11:27:11,725,546,497,500,502,502,506,506
20210710 11:27:12,721,546,497,500,502,502,502,506
20210710 11:27:13,725,550,497,500,502,502,506,506
20210710 11:27:14,733,558,497,500,498,502,506,506
20210710 11:27:15,733,558,497,500,502,502,506,506
20210710 11:27:16,733,558,497,500,498,502,506,506
20210710 11:27:17,733,558,497,500,502,502,506,506
20210710 11:27:18,733,558,497,500,502,502,506,506
20210710 11:27:19,733,558,497,500,498,502,502,506
20210710 11:27:20,733,558,497,500,502,502,502,506
20210710 11:27:21,733,558,497,500,502,502,506,506
20210710 11:27:22,733,558,497,500,498,502,506,502
