sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sample_date,sample_time,dist
683,1020,545,502,503,506,507,506,03/12/2021,16:07:13,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:14,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:16,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:17,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:19,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:20,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:22,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:23,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:25,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:26,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:28,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:29,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:30,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:32,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:33,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:35,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:36,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:38,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:39,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:41,0.042500
683,1020,545,502,507,506,507,506,03/12/2021,16:07:42,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:43,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:45,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:46,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:48,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:49,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:51,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:52,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:54,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:55,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:57,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:58,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:07:59,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:01,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:02,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:04,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:05,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:07,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:08,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:10,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:11,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:12,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:14,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:15,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:17,0.042500
683,1020,545,506,503,506,507,506,03/12/2021,16:08:18,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:20,0.042500
683,1020,545,506,503,506,507,506,03/12/2021,16:08:21,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:23,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:24,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:26,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:27,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:28,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:30,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:31,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:33,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:34,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:36,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:37,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:39,0.042500
683,1020,545,502,503,506,507,506,03/12/2021,16:08:40,0.042500
170,500,33,486,39,506,128,490,03/12/2021,16:08:32,NULL
502,502,497,494,559,1019,644,494,03/12/2021,16:31:03,20.063519
506,502,497,494,559,1019,640,494,03/12/2021,16:31:34,20.026438
502,502,497,494,595,1019,596,494,03/12/2021,16:32:05,19.618541
502,502,497,494,671,1019,552,494,03/12/2021,16:32:36,19.029630
502,502,497,494,671,1019,552,494,03/12/2021,16:33:07,19.029630
502,502,497,494,675,1019,552,490,03/12/2021,16:33:38,19.000000
502,502,497,494,675,1019,552,490,03/12/2021,16:34:09,19.000000
502,502,497,494,675,1019,552,490,03/12/2021,16:34:40,19.000000
502,498,497,494,675,1019,552,490,03/12/2021,16:35:11,19.000000
502,502,497,494,675,1019,552,494,03/12/2021,16:35:42,19.000000
506,498,497,494,675,1019,552,490,03/12/2021,16:36:13,19.000000
502,498,497,494,675,1019,552,490,03/12/2021,16:36:44,19.000000
502,502,497,498,708,1019,540,490,03/12/2021,16:37:15,18.755556
502,502,497,498,716,1019,540,494,03/12/2021,16:37:46,18.696296
502,498,493,498,772,963,527,490,03/12/2021,16:38:17,18.281481
502,498,493,498,776,963,528,494,03/12/2021,16:38:48,18.251852
502,498,493,498,780,959,527,490,03/12/2021,16:39:19,18.222222
502,498,493,498,780,959,527,490,03/12/2021,16:39:50,18.222222
502,498,497,498,780,955,528,490,03/12/2021,16:40:21,18.222222
502,498,497,498,780,955,527,494,03/12/2021,16:40:52,18.222222
502,498,497,498,780,955,527,490,03/12/2021,16:41:23,18.222222
502,498,493,502,780,955,527,494,03/12/2021,16:41:54,18.222222
502,498,497,498,780,955,527,490,03/12/2021,16:42:25,18.222222
502,498,497,498,780,957,527,494,03/12/2021,16:42:56,18.222222
502,498,493,498,780,955,527,490,03/12/2021,16:43:27,18.222222
502,498,493,498,776,959,527,490,03/12/2021,16:43:58,18.251852
502,498,493,506,897,851,515,494,03/12/2021,16:44:29,17.492941
502,498,493,506,893,855,515,494,03/12/2021,16:45:00,17.525882
502,498,493,506,893,855,515,490,03/12/2021,16:45:31,17.525882
502,498,493,506,889,859,515,494,03/12/2021,16:46:02,17.558824
502,498,493,506,889,859,515,494,03/12/2021,16:46:33,17.558824
502,498,493,506,889,859,515,494,03/12/2021,16:47:04,17.558824
502,498,493,506,909,839,511,490,03/12/2021,16:47:35,17.394118
502,498,493,506,897,851,515,494,03/12/2021,16:48:06,17.492941
502,498,493,506,909,839,515,494,03/12/2021,16:48:37,17.394118
502,498,493,506,913,839,515,490,03/12/2021,16:49:08,17.394118
502,498,493,506,893,855,515,494,03/12/2021,16:49:39,17.525882
502,498,493,506,893,855,515,494,03/12/2021,16:50:10,17.525882
502,498,493,506,901,851,515,494,03/12/2021,16:50:41,17.492941
502,498,493,502,820,923,523,494,03/12/2021,16:51:12,17.925926
502,498,493,502,816,927,523,494,03/12/2021,16:51:43,17.955556
502,498,493,506,901,847,515,494,03/12/2021,16:52:14,17.460000
502,498,493,506,873,875,519,494,03/12/2021,16:52:45,17.600000
502,498,493,506,885,863,515,494,03/12/2021,16:53:16,17.591765
502,498,493,506,917,835,511,494,03/12/2021,16:53:47,17.361176
502,498,493,506,917,835,511,494,03/12/2021,16:54:18,17.361176
502,498,493,510,921,831,511,494,03/12/2021,16:54:49,17.328235
502,498,493,506,917,835,511,490,03/12/2021,16:55:20,17.361176
502,498,493,506,893,855,515,494,03/12/2021,16:55:51,17.525882
502,498,493,506,893,855,515,494,03/12/2021,16:56:22,17.525882
502,498,493,506,901,847,515,494,03/12/2021,16:56:53,17.460000
502,498,493,506,904,847,515,494,03/12/2021,16:57:24,17.460000
502,498,493,510,929,823,511,494,03/12/2021,16:57:55,17.262353
502,498,493,510,929,823,511,494,03/12/2021,16:58:26,17.262353
502,498,493,510,933,823,511,494,03/12/2021,16:58:57,17.262353
502,498,493,506,921,831,511,494,03/12/2021,16:59:28,17.328235
502,498,493,506,913,840,515,494,03/12/2021,16:59:59,17.402353
502,498,493,506,909,843,515,494,03/12/2021,17:00:30,17.427059
502,498,493,514,966,791,509,494,03/12/2021,17:04:41,16.998824
502,498,493,510,969,791,507,494,03/12/2021,17:05:12,16.998824
502,498,493,510,941,815,511,494,03/12/2021,17:05:43,17.196471
502,498,493,510,933,819,511,494,03/12/2021,17:06:14,17.229412
502,498,493,510,937,815,511,494,03/12/2021,17:06:45,17.196471
502,498,493,510,933,823,511,492,03/12/2021,17:07:16,17.262353
502,498,493,510,925,827,511,490,03/12/2021,17:07:47,17.295294
502,498,493,510,933,819,511,490,03/12/2021,17:08:18,17.229412
502,498,493,514,989,775,507,494,03/12/2021,17:08:49,16.867059
502,498,493,514,985,779,507,494,03/12/2021,17:09:20,16.900000
502,498,493,514,985,775,507,494,03/12/2021,17:09:51,16.867059
502,498,493,514,989,775,507,494,03/12/2021,17:10:22,16.867059
502,498,493,514,985,775,507,494,03/12/2021,17:10:53,16.867059
502,498,493,514,989,775,507,494,03/12/2021,17:11:24,16.867059
502,498,493,514,989,775,507,494,03/12/2021,17:11:55,16.867059
502,498,493,514,985,775,507,494,03/12/2021,17:12:26,16.867059
502,498,493,514,985,775,507,494,03/12/2021,17:12:57,16.867059
502,498,493,514,990,775,507,494,03/12/2021,17:13:28,16.867059
502,498,493,514,989,775,507,494,03/12/2021,17:13:59,16.867059
502,498,493,514,989,775,507,494,03/12/2021,17:14:30,16.867059
502,498,493,514,985,779,507,494,03/12/2021,17:15:01,16.900000
502,498,493,514,989,775,507,494,03/12/2021,17:15:32,16.867059
502,498,493,514,989,775,507,494,03/12/2021,17:16:03,16.867059
502,498,493,514,985,775,507,494,03/12/2021,17:16:34,16.867059
502,498,493,514,989,775,507,494,03/12/2021,17:17:05,16.867059
502,498,493,514,989,775,507,494,03/12/2021,17:17:36,16.867059
502,498,493,514,985,775,507,494,03/12/2021,17:18:07,16.867059
502,498,493,514,985,775,507,494,03/12/2021,17:18:38,16.867059
502,498,493,514,985,775,507,494,03/12/2021,17:19:09,16.867059
502,498,493,514,989,775,507,494,03/12/2021,17:19:40,16.867059
502,498,493,514,981,779,507,494,03/12/2021,17:20:11,16.900000
502,498,493,514,989,775,507,494,03/12/2021,17:20:42,16.867059
502,498,493,514,985,779,507,494,03/12/2021,17:21:13,16.900000
502,498,493,514,985,775,507,494,03/12/2021,17:21:44,16.867059
502,498,493,514,985,775,507,494,03/12/2021,17:22:15,16.867059
502,498,493,514,985,779,507,494,03/12/2021,17:22:46,16.900000
502,498,493,514,985,775,507,494,03/12/2021,17:23:17,16.867059
502,498,493,514,985,775,507,494,03/12/2021,17:23:48,16.867059
502,498,493,514,985,775,507,494,03/12/2021,17:24:19,16.867059
502,498,493,514,985,775,507,494,03/12/2021,17:24:50,16.867059
502,498,493,514,985,775,507,494,03/12/2021,17:25:21,16.867059
502,498,493,514,985,775,507,494,03/12/2021,17:25:52,16.867059
502,498,493,514,985,775,507,490,03/12/2021,17:26:23,16.867059
502,498,493,514,985,775,507,494,03/12/2021,17:26:54,16.867059
502,498,493,514,985,775,507,494,03/12/2021,17:27:25,16.867059
502,498,493,514,985,779,507,494,03/12/2021,17:27:56,16.900000
502,498,493,514,985,775,507,494,03/12/2021,17:28:27,16.867059
502,498,493,514,985,775,507,490,03/12/2021,17:28:58,16.867059
502,498,493,514,985,775,507,494,03/12/2021,17:29:29,16.867059
502,498,493,518,1021,747,507,494,03/12/2021,17:30:00,16.636471
502,498,493,518,1013,755,507,494,03/12/2021,17:30:31,16.702353
502,498,493,518,1013,755,507,494,03/12/2021,17:31:02,16.702353
502,498,493,518,1013,755,507,494,03/12/2021,17:31:33,16.702353
502,498,493,518,1013,755,507,494,03/12/2021,17:32:04,16.702353
